term,REMIFENTANIL,FENTANYL,SUFENTANIL,MORPHINE
GLAUCOMA,0,0,0,139
GLOSSODYNIA,0,0,0,360
GLYCOSURIA,0,0,7,0
GRIP STRENGTH DECREASED,0,0,0,236
GUILLAIN-BARRE SYNDROME,0,0,9,0
HAEMATEMESIS,14,267,9,136
HAEMATOCHEZIA,0,378,0,291
HAEMATOMA,22,153,23,132
HAEMATURIA,8,228,7,155
HAEMATURIA TRAUMATIC,11,0,0,0
HAEMODILUTION,0,0,7,0
HAEMODYNAMIC INSTABILITY,41,175,88,0
HAEMOGLOBIN DECREASED,13,488,7,499
HAEMOLYTIC ANAEMIA,10,0,23,0
HAEMOPTYSIS,16,148,0,156
HAEMORRHAGE,25,310,57,313
HAEMORRHAGE INTRACRANIAL,6,0,0,0
HAEMORRHOIDS,0,137,0,0
HAEMOTHORAX,0,0,33,0
HALLUCINATION,9,588,7,483
"HALLUCINATION, VISUAL",0,147,0,177
HAND DEFORMITY,0,0,0,343
HEAD INJURY,0,194,0,0
HEAD TITUBATION,6,0,0,0
HEADACHE,27,1972,29,2604
HEART INJURY,7,0,0,0
HEART RATE DECREASED,20,217,17,227
HEART RATE INCREASED,18,475,17,397
HELICOBACTER INFECTION,0,0,0,259
HEMIPARESIS,10,0,18,191
HEMIPLEGIA,0,0,0,139
HEPARIN-INDUCED THROMBOCYTOPENIA,5,0,12,0
HEPATIC CIRRHOSIS,0,0,0,303
HEPATIC CYTOLYSIS,20,0,69,0
HEPATIC ENZYME INCREASED,16,273,21,627
HEPATIC FAILURE,14,246,23,207
HEPATIC FUNCTION ABNORMAL,21,189,0,0
HEPATIC STEATOSIS,0,0,0,151
HEPATITIS,8,0,28,0
HEPATITIS ACUTE,10,0,0,0
HEPATITIS C,0,205,0,0
HEPATITIS FULMINANT,8,0,12,0
HEPATOCELLULAR INJURY,31,0,90,147
HEPATOMEGALY,0,0,7,0
HEPATORENAL FAILURE,0,0,28,0
HEPATOTOXICITY,10,0,0,0
HERNIA,0,0,0,146
HERPES ZOSTER,0,166,0,372
HIATUS HERNIA,0,0,7,0
HIP ARTHROPLASTY,0,0,0,190
HIP FRACTURE,0,152,0,144
HOMICIDE,0,157,0,0
HORNER^S SYNDROME,0,0,34,0
HOSPITALISATION,0,793,0,382
HOT FLUSH,0,336,0,288
HYPERAESTHESIA,10,315,22,262
HYPERAMMONAEMIC ENCEPHALOPATHY,8,0,0,0
HYPERBILIRUBINAEMIA,14,0,22,0
HYPERCALCAEMIA,0,155,7,0
HYPERCAPNIA,34,0,26,0
HYPERCHOLESTEROLAEMIA,0,0,0,237
HYPERDYNAMIC LEFT VENTRICLE,0,0,9,0
HYPERGLYCAEMIA,8,229,24,167
HYPERHIDROSIS,31,1728,27,1092
HYPERKALAEMIA,62,390,63,261
HYPERLACTACIDAEMIA,6,0,28,0
HYPERLEUKOCYTOSIS,0,0,8,0
HYPERLIPASAEMIA,0,0,7,0
HYPERNATRAEMIA,14,0,11,0
HYPERREFLEXIA,26,0,0,0
HYPERSENSITIVITY,30,691,74,978
HYPERSOMNIA,0,240,0,166
HYPERTENSION,68,1167,103,1373
HYPERTENSIVE CRISIS,26,0,13,0
HYPERTHERMIA,6,133,46,0
HYPERTHERMIA MALIGNANT,87,151,73,0
HYPERTRANSAMINASAEMIA,0,0,54,0
HYPERTRIGLYCERIDAEMIA,0,0,21,0
HYPOAESTHESIA,13,637,34,919
HYPOALBUMINAEMIA,7,0,14,0
HYPOCALCAEMIA,10,150,7,0
HYPOCAPNIA,0,0,13,0
HYPOGLYCAEMIA,10,254,22,200
HYPOKALAEMIA,20,500,36,403
HYPOKINESIA,0,0,12,0
