ADRECS_ID,ADR_ID,ADR_TERM,ADR_SYNONYMS,MEDDRA_CODE
19.07.06.011,BADD_A01328,Drug dependence,"Addicted to amphetamine | Addicted to cocaine | Addicted to drugs | Addicted to heroin | Addiction any drug | Addiction to drugs | Addiction to drugs (excl drug psychosis) | Amphetamine and other psychostimulant dependence | Amphetamine and other psychostimulant dependence, continuous use | Amphetamine and other psychostimulant dependence, episodic use | Amphetamine and other psychostimulant dependence, in remission | Amphetamine and other psychostimulant dependence, unspecified use | Amylobarbitone dependency | Barbiturate and similarly acting sedative or hypnotic | Barbiturate and similarly acting sedative or hypnotic dependence | Barbiturate and similarly acting sedative or hypnotic dependence, continuous use | Barbiturate and similarly acting sedative or hypnotic dependence, episodic use | Barbiturate and similarly acting sedative or hypnotic dependence, in remission | Barbiturate and similarly acting sedative or hypnotic dependence, unspecified use | Barbiturate dependency | Benzodiazepine dependent | Cannabis addiction | Cannabis dependence | Cannabis dependence, continuous use | Cannabis dependence, episodic use | Cannabis dependence, in remission | Cannabis dependence, unspecified use | Cocaine addiction | Cocaine dependence | Cocaine dependence, continuous use | Cocaine dependence, episodic use | Cocaine dependence, in remission | Cocaine dependence, unspecified use | Combinations of drug dependence excluding morphine type drug | Combinations of drug dependence excluding opioid type drug | Combinations of drug dependence excluding opioid type drug, continuous use | Combinations of drug dependence excluding opioid type drug, episodic use | Combinations of drug dependence excluding opioid type drug, in remission | Combinations of drug dependence excluding opioid type drug, unspecified use | Combinations of morphine type drug with any other drug dependence | Combinations of opioid type drug with any other drug dependence | Combinations of opioid type drug with any other drug dependence, continuous use | Combinations of opioid type drug with any other drug dependence, episodic use | Combinations of opioid type drug with any other drug dependence, in remission | Combinations of opioid type drug with any other drug dependence, unspecified use | Dependence addictive | Dependence drug (NOS) | Dependence non-addictive | Dependence on amphetamines | Dependence on barbiturates | Dependence on cannabis | Dependence on cocaine | Dependence on hallucinogens | Dependence on marijuana | Dependence on opiates | Dependence on tranquillisers | Dependence on volatile nitrites | Dependence on volatile solvents | Dependence psychological | Drug addiction | Drug dependence | Drug dependence NOS | Drug dependence of barbiturate type | Drug dependence of morphine type | Drug dependence physical | Drug dependence psychic | Drug dependence, unspecified | Drug habit | Drug habituating | Hallucinogen dependence | Hallucinogen dependence, continuous use | Hallucinogen dependence, episodic use | Hallucinogen dependence, in remission | Hallucinogen dependence, unspecified use | Heroin addiction | Opioid type dependence | Opioid type dependence, continuous use | Opioid type dependence, episodic use | Opioid type dependence, in remission | Opioid type dependence, unspecified use | Opium addiction | Other specified drug dependence | Other specified drug dependence, continuous use | Other specified drug dependence, episodic use | Other specified drug dependence, in remission | Other specified drug dependence, unspecified use | Unspecified drug dependence | Unspecified drug dependence, continuous use | Unspecified drug dependence, episodic use | Unspecified drug dependence, in remission | Unspecified drug dependence, unspecified use | Drug craving | Drug seeking behavior | Dependence on tranquillizers | Drug seeking behaviour | Opiate dependency relapse | Analgesic drug dependence | Polydrug dependence | Substance-Related Disorders | Drug Abuse",10013663
19.09.01.005,BADD_A02137,Hyperphagia,Excessive eating | Hyperphagia | Markedly increased food intake | Other hyperalimentation | Polyphagia | Markedly increased dietary intake | Overeating | Polyphagias,10020710
19.10.04.010,BADD_A06132,Somatic hallucination,"Somatic hallucination | Proprioceptive hallucination | Coenaesthesia | Cenesthesia | Hallucinations | Hallucination | Hallucinations, Visual | Hallucination, Visual | Visual Hallucination | Visual Hallucinations | Hallucination of Body Sensation | Body Sensation Hallucination | Body Sensation Hallucinations | Hallucinations, Auditory | Auditory Hallucination | Auditory Hallucinations | Hallucination, Auditory | Hallucinations, Dissociative | Dissociative Hallucination | Dissociative Hallucinations | Hallucination, Dissociative | Hallucinations, Elementary | Elementary Hallucination | Elementary Hallucinations | Hallucination, Elementary | Hallucinations, Formed, of People | Hallucinations, Gustatory | Gustatory Hallucination | Gustatory Hallucinations | Hallucination, Gustatory | Hallucinations, Hypnagogic | Hallucination, Hypnagogic | Hypnagogic Hallucination | Hypnagogic Hallucinations | Hallucinations, Hypnapompic | Hallucination, Hypnapompic | Hypnapompic Hallucination | Hypnapompic Hallucinations | Hallucinations, Internal Body Sensation | Hallucinations, Kinesthetic | Hallucination, Kinesthetic | Kinesthetic Hallucination | Kinesthetic Hallucinations | Hallucinations, Mood Congruent | Hallucination, Mood Congruent | Mood Congruent Hallucination | Mood Congruent Hallucinations | Hallucinations, Mood Incongruent | Hallucination, Mood Incongruent | Mood Incongruent Hallucination | Mood Incongruent Hallucinations | Hallucinations, Olfactory | Hallucination, Olfactory | Olfactory Hallucination | Olfactory Hallucinations | Hallucinations, Organic | Hallucination, Organic | Organic Hallucination | Organic Hallucinations | Hallucinations, Reflex | Hallucination, Reflex | Reflex Hallucination | Reflex Hallucinations | Hallucinations, Sensory | Hallucination, Sensory | Sensory Hallucination | Sensory Hallucinations | Hallucinations, Somatic | Hallucination, Somatic | Somatic Hallucination | Somatic Hallucinations | Hallucinations, Tactile | Hallucination, Tactile | Tactile Hallucination | Tactile Hallucinations | Hallucinations, Verbal Auditory | Auditory Hallucination, Verbal | Auditory Hallucinations, Verbal | Hallucination, Verbal Auditory | Verbal Auditory Hallucination | Verbal Auditory Hallucinations | Hallucinations, Visual, Formed | Hallucinations, Visual, Unformed",10062684
19.11.02.002,BADD_A03825,Restlessness,"Marked restlessness | Muscular unrest | Physically restless | Restless | Restlessness | Restlessness (drug related) | Restlessness (phenothiazine) | Restlessness marked | Unrest | Restlessness aggravated | Inner restlessness | Psychomotor Agitation | Psychomotor Hyperactivity | Hyperactivity, Psychomotor | Psychomotor Restlessness | Restlessness, Psychomotor | Agitation, Psychomotor | Excitement, Psychomotor | Psychomotor Excitement | Akathisia",10038743
19.11.02.003,BADD_A03619,Psychomotor hyperactivity,"Activity motor exaggerated | Behavior hyperactive | Behaviour hyperactive | Hyper | Hyperactive | Hyperactivity | Increased activity | Irritable hyperkinesis | Motor activity exaggerated | Muscular hyperactivity | Overactive | Overactivity | Pedaling | Psychomotor excitability | Psychomotor hyperactivity | Psychomotor restlessness | Psychomotor agitation | Psychomotor Agitation | Restlessness | Psychomotor Hyperactivity | Hyperactivity, Psychomotor | Psychomotor Restlessness | Restlessness, Psychomotor | Agitation, Psychomotor | Excitement, Psychomotor | Psychomotor Excitement | Akathisia",10037211
19.13.02.001,BADD_A01178,Delirium,"Acute brain syndrome | Acute delirium | Brain syndrome acute | Delirious | Delirium | Delirium due to a general medical condition | Delirium nocternal | Delirium nocturnal | Delirium toxic | Delirium, cause unknown | Disorder brain (acute) | Drug-induced delirium | Sensory deprivation delirium | Subacute delirium | Syndrome brain acute | Sundowning | Hypoactive delirium | Hyperactive delirium | Mixed delirium | Subacute Delirium | Delirium, Subacute | Deliriums, Subacute | Subacute Deliriums | Delirium of Mixed Origin | Mixed Origin Delirium | Mixed Origin Deliriums",10012218
19.13.02.002,BADD_A01181,Delirium tremens,"Alcohol withdrawal delirium | Delirium tremens | Alcohol Withdrawal Delirium | Delirium, Alcohol Withdrawal | Delirium Tremens | Delirium Tremens, Alcohol Withdrawal Induced | Alcohol Withdrawal-Induced Delirium Tremens | Alcohol Withdrawal Induced Delirium Tremens | Autonomic Hyperactivity, Alcohol Withdrawal Associated | Alcohol Withdrawal Associated Autonomic Hyperactivity | Alcohol Withdrawal Hallucinosis | Hallucinosis, Alcohol Withdrawal",10012225
19.14.01.003,BADD_A01307,Dissociative disorder,"Dissociation reaction | Dissociative disorder | Dissociative disorder NOS | Dissociative disorder or reaction, unspecified | Dissociative hysteria | Dissociative reaction | Dissociative trance disorder | Floating corporeal | Psychogenic coma | Reaction dissociative | Organic dissociative disorder | Dissociative stupor | Dissociative anaesthesia | Dissociative anesthesia | Dissociative Disorders | Disorder, Dissociative | Disorders, Dissociative | Dissociative Disorder | Dissociative Reaction | Dissociative Reactions | Reaction, Dissociative | Reactions, Dissociative | Hysteria, Dissociative | Dissociative Hysteria | Hysterias, Dissociative | Fugue | Dissociation",10013462
19.21.04.004,BADD_A09509,Attention deficit hyperactivity disorder,"ADD | ADDH | Attention deficit disorder | Attention deficit disorder of childhood | Attention deficit disorder of childhood with hyperactivity | Attention deficit disorder of childhood without mention of hyperactivity | Attention deficit-hyperactivity disorder | Attention deficit/hyperactivity disorder | Attention deficit/hyperactivity disorder NOS | Hyperactive child syndrome | Hyperkinesis of childhood with developmental delay | Hyperkinetic conduct disorder of childhood | Hyperkinetic syndrome | Hyperkinetic syndrome of childhood | Other specified manifestations of hyperkinetic syndrome of childhood | Overactive child | Syndrome hyperkinetic | Unspecified hyperkinetic syndrome of childhood | Hyperactivity syndrome aggravated | ADHD | ADHD, combined type | ADHD, predominantly hyperactive-impulsive type | ADHD, predominantly inattentive type | Attention deficit hyperactivity disorder | Attention Deficit Disorder with Hyperactivity | Attention Deficit Disorders with Hyperactivity | Attention Deficit Hyperactivity Disorders | Attention Deficit-Hyperactivity Disorder | Attention Deficit-Hyperactivity Disorders | Deficit-Hyperactivity Disorder, Attention | Deficit-Hyperactivity Disorders, Attention | Disorder, Attention Deficit-Hyperactivity | Disorders, Attention Deficit-Hyperactivity | Hyperkinetic Syndrome | Syndromes, Hyperkinetic | Attention Deficit Hyperactivity Disorder | Attention Deficit Disorder | Attention Deficit Disorders | Deficit Disorder, Attention | Deficit Disorders, Attention | Disorder, Attention Deficit | Disorders, Attention Deficit | Brain Dysfunction, Minimal | Dysfunction, Minimal Brain | Minimal Brain Dysfunction",10083622
20.03.03.003,BADD_A02159,Hypertonic bladder,"Bladder instability | Detrusor hyperreflexia | Detrusor instability | Hypertonic bladder | Hypertonicity of bladder | Low bladder compliance | Unstable bladder | Hyperactive bladder | Overactive bladder | Urgency-frequency syndrome | Urinary Bladder, Overactive | Overactive Bladder | Overactive Urinary Bladder | Bladder, Overactive | Overactive Detrusor | Detrusor, Overactive | Overactive Detrusor Function | Detrusor Function, Overactive",10020853
20.05.03.002,BADD_A03025,Nephropathy toxic,Analgesic nephropathy | Nephropathy toxic | Radiocontrast nephropathy | Steroid nephropathy | Toxic nephropathy | Toxicity renal | Nephrotoxicity | Drug-induced renal disease | Drug-induced kidney injury,10029155
21.03.02.023,BADD_A06324,Hyperandrogenism,Hyperandrogenism | Hyperandrogenemia | Hyperandrogenaemia | Testosterone excess | Excessive secretion of testosterone,10065597
21.08.02.011,BADD_A06606,Vulvovaginal erythema,Labium majus pudendi redness | Vulval erythema | Vaginal erythema | Vulvovaginal erythema | Vulvovaginal hyperemia | Vulvovaginal hyperaemia | Vaginal redness | Vulval redness,10070437
21.10.05.012,BADD_A06541,Genital hypoaesthesia,Hypoaesthesia of genital male | Hypoesthesia of genital male | Hypoesthesia of penis | Hypoaesthesia of penis | Genital hypoaesthesia | Genital hypoesthesia | Vulvovaginal hypoaesthesia | Vulvovaginal hypoesthesia | Penile numbness | Scrotal hypoaesthesia | Scrotal hypoesthesia,10068912
21.10.05.016,BADD_A09210,Genital paraesthesia,Paraesthesia of genital male | Paraesthesia of penis | Paresthesia of genital male | Paresthesia of penis | Paraesthesia of genital female | Paresthesia of genital female | Genital paraesthesia | Genital paresthesia | Penile tingling | Scrotal paresthesia | Scrotal paraesthesia,10073420
21.10.05.021,BADD_A09969,Genital anaesthesia,Genital anaesthesia | Genital anesthesia,10084476
22.02.07.005,BADD_A00194,Anaesthetic complication pulmonary,"Anaesthetic complication pulmonary | Anaesthetic complication pulmonary in labour or delivery | Anaesthetic complication pulmonary NOS | Pulmonary complications of anaesthesia or other sedation in labour and delivery | Pulmonary complications of anesthesia or other sedation in labor and delivery | Pulmonary complications of anesthesia or other sedation in labor and delivery, antepartum | Pulmonary complications of anesthesia or other sedation in labor and delivery, delivered | Pulmonary complications of anesthesia or other sedation in labor and delivery, postpartum | Pulmonary complications of anesthesia or other sedation in labor and delivery, unspec as to eoc | Pulmonary aspiration during anesthetic induction | Pulmonary aspiration during anesthetic emergence | Anesthetic complication pulmonary | Pulmonary complications of anasthesia or other sedation in labor and delivery | Anesthetic complication pulmonary in labor or delivery | Pulmonary aspiration during anaesthetic emergence | Pulmonary aspiration during anaesthetic induction",10002108
22.02.07.006,BADD_A04893,Airway complication of anaesthesia,"Bucking | Airway complication of anaesthesia | Airway complications of anaesthesia | Airway obstruction on anaesthetic induction | Airway obstruction on anaesthetic emergence | Bucking, anesthesia related | Coughing on induction | Laryngospasm on emergence | Laryngospasm on induction | Bronchospasm on induction | Airway complication of anesthesia | Bucking, anaesthesia related | Airway obstruction on anesthetic emergence | Airway obstruction on anesthetic induction",10049979
22.03.01.016,BADD_A06366,Bronchial hyperreactivity,"Reactive airways disease | Bronchial hyperactivity | Hyperactive airway disease | Bronchial hyperreactivity | Bronchial hypersensitivity | Bronchial Hyperreactivity | Bronchial Hyperreactivities | Hyperreactivities, Bronchial | Hyperreactivity, Bronchial",10066091
22.03.01.027,BADD_A10532,NSAID exacerbated respiratory disease,Aspirin asthma | Aspirin-sensitive asthma | Widal syndrome | Asthma aspirin-sensitive | Analgesic asthma syndrome | Samter's syndrome | Aspirin-exacerbated respiratory disease | NSAID exacerbated respiratory disease,10087423
22.04.03.009,BADD_A05858,Nasal mucosal disorder,Nasal mucosal disorder NOS | Nasal mucosal disorder | Nasal mucosal erythema | Nasal mucosal hyperaemia | Nasal mucosal hyperemia,10061305
22.04.03.017,BADD_A06412,Intranasal hypoaesthesia,Intranasal numbness | Intranasal hypoaesthesia | Intranasal hypoesthesia,10067068
22.04.05.010,BADD_A05451,Pharyngeal erythema,Pharynx redness of | Red throat | Pharyngeal erythema | Pharyngeal hyperaemia | Pharyngeal hyperemia,10057009
22.04.05.012,BADD_A06130,Dysaesthesia pharynx,Dysaesthesia pharynx | Dysesthesia pharynx | Laryngopharyngeal dysesthesia | Laryngopharyngeal dysaesthesia,10062665
22.04.05.013,BADD_A06800,Hyperactive pharyngeal reflex,Hyperactive pharyngeal reflex | Hyperactive gag reflex,10076460
22.04.05.017,BADD_A08447,Pharyngeal hypoaesthesia,Pharyngeal hypoaesthesia | Numbness throat | Pharyngeal hypoesthesia,10059923
22.04.05.018,BADD_A09328,Pharyngeal paraesthesia,Pharyngeal paraesthesia | Tingling throat | Pharyngeal paresthesia,10076737
